variable,year,pct
academics.program_percentage.philosophy_religious,2018,0.0049
academics.program_percentage.theology_religious_vocation,2018,0
academics.program_percentage.physical_science,2018,0.0248
academics.program_percentage.science_technology,2018,0
academics.program_percentage.psychology,2018,0.0125
academics.program_percentage.security_law_enforcement,2018,0
academics.program_percentage.public_administration_social_service,2018,0.0177
academics.program_percentage.social_science,2018,0.0898
academics.program_percentage.construction,2018,0
academics.program_percentage.mechanic_repair_technology,2018,0
academics.program_percentage.precision_production,2018,0
academics.program_percentage.transportation,2018,0
academics.program_percentage.visual_performing,2018,0.0109
academics.program_percentage.health,2018,0.003
academics.program_percentage.business_marketing,2018,0.1439
academics.program_percentage.history,2018,0.0071
academics.program_percentage.agriculture,2019,0.1156
academics.program_percentage.resources,2019,0.0184
academics.program_percentage.architecture,2019,0.0295
academics.program_percentage.ethnic_cultural_gender,2019,0.01
academics.program_percentage.communication,2019,0.0192
academics.program_percentage.communications_technology,2019,0
academics.program_percentage.computer,2019,0.1222
academics.program_percentage.personal_culinary,2019,0
academics.program_percentage.education,2019,0
academics.program_percentage.engineering,2019,0.15310000000000001
academics.program_percentage.engineering_technology,2019,0
academics.program_percentage.language,2019,0.0092
academics.program_percentage.family_consumer_science,2019,0.0274
academics.program_percentage.legal,2019,0
academics.program_percentage.english,2019,0.0105
academics.program_percentage.humanities,2019,0.0026
academics.program_percentage.library,2019,0
academics.program_percentage.biological,2019,0.138
academics.program_percentage.mathematics,2019,0.0163
academics.program_percentage.military,2019,0
academics.program_percentage.multidiscipline,2019,0.0097
academics.program_percentage.parks_recreation_fitness,2019,0
academics.program_percentage.philosophy_religious,2019,0.0053
academics.program_percentage.theology_religious_vocation,2019,0
academics.program_percentage.physical_science,2019,0.0242
academics.program_percentage.science_technology,2019,0
academics.program_percentage.psychology,2019,0.0145
academics.program_percentage.security_law_enforcement,2019,0
academics.program_percentage.public_administration_social_service,2019,0.0163
academics.program_percentage.social_science,2019,0.0798
academics.program_percentage.construction,2019,0
academics.program_percentage.mechanic_repair_technology,2019,0
academics.program_percentage.precision_production,2019,0
academics.program_percentage.transportation,2019,0
academics.program_percentage.visual_performing,2019,0.0105
academics.program_percentage.health,2019,0.0058
academics.program_percentage.business_marketing,2019,0.1509
academics.program_percentage.history,2019,0.0105
academics.program_percentage.agriculture,2020,0.1158
academics.program_percentage.resources,2020,0.0214
academics.program_percentage.architecture,2020,0.0322
academics.program_percentage.ethnic_cultural_gender,2020,0.0124
academics.program_percentage.communication,2020,0.0221
academics.program_percentage.communications_technology,2020,0
academics.program_percentage.computer,2020,0.1282
academics.program_percentage.personal_culinary,2020,0
academics.program_percentage.education,2020,0
academics.program_percentage.engineering,2020,0.15310000000000001
academics.program_percentage.engineering_technology,2020,0
academics.program_percentage.language,2020,0.0085
academics.program_percentage.family_consumer_science,2020,0.0234
academics.program_percentage.legal,2020,0
academics.program_percentage.english,2020,0.0085
academics.program_percentage.humanities,2020,0.0013
academics.program_percentage.library,2020,0
academics.program_percentage.biological,2020,0.1258
academics.program_percentage.mathematics,2020,0.0203
academics.program_percentage.military,2020,0
academics.program_percentage.multidiscipline,2020,0.0116
academics.program_percentage.parks_recreation_fitness,2020,0
academics.program_percentage.philosophy_religious,2020,0.0046
academics.program_percentage.theology_religious_vocation,2020,0
academics.program_percentage.physical_science,2020,0.028
academics.program_percentage.science_technology,2020,0
academics.program_percentage.psychology,2020,0.0175
academics.program_percentage.security_law_enforcement,2020,0
academics.program_percentage.public_administration_social_service,2020,0.0149
academics.program_percentage.social_science,2020,0.0898
academics.program_percentage.construction,2020,0
academics.program_percentage.mechanic_repair_technology,2020,0
academics.program_percentage.precision_production,2020,0
academics.program_percentage.transportation,2020,0
academics.program_percentage.visual_performing,2020,0.0124
academics.program_percentage.health,2020,0.0103
academics.program_percentage.business_marketing,2020,0.1307
academics.program_percentage.history,2020,0.0072
